Date,Time,Tweet,Sentiment,Relevance
2022-04-06,10:14:55,"Austin opens tomorrow, we had record deliveries, we'll have another record quarter and $TSLA is down 10% within 24 hours and people are selling their shares because they see some red in the markets. MM's and big money are stealing your shares. That's how transfer of wealth works",0.0,933.0
2020-09-22,19:24:11,$TSLA stock down 7% on news Tesla has a plan to reinvent and dominate global battery production and the automotive industry!,0.0,1382.0
12/11/21,12:48:52,"Really exciting past week. New Cybertruck design shots, Modesto Megacharger under construction, Semi in low volume prod, Model Y updates coming, etc, etc. Such a great time to be a $TSLA investor. 2022 is looking to be an absolute packed year with multiple new factory openings 🥳",0,1696.0
11/8/21,10:59:24,Investors calling for a 10-15% $TSLA decline today don’t get the diff between a 2% secondary and a 2% block sale by the CEO. The former is dilutive (reduces EPS by 2%) and weighs on the stock for days. The latter is just a block trade by GS/MS and gets done in a day. TSLA -2.8%.,0,1385.0
11/15/2021,10:26:20,"Tesla Enters Bear Market As Michael Burry Says Musk ""Doesn't Need Cash, He Just Wants To Sell""  https://t.co/ZMuOTJ8tXX",0,431.0
2/18/2022,21:20:40,"Why my conviction for $TSLA has grown since joining the Twitter community. Tesla bulls back up their conviction with data &amp; logic. Tesla bears seem to back it up by headline titles, feelings, opinions, sarcasm, personal attacks, &amp; general lack of data &amp; logic.",0,1770.0
2020-12-06,12:21:37,Keep in mind for Tesla to go 10x again. It will have to be worth $5 tril.  Not to be a buzz kill.  $tsla,0.0,1360.0
11/7/2021,21:24:58,I guess all the analysts raising their tesla price targets / bull cases didn’t hear about the poll that destroys $TSLA forever? 🤣,0,410.0
2022-04-07,13:28:20,$TSLA sinks on news that they will now have to manage a fourth factory,0.0,867.0
2/23/2022,17:43:38,"$TSLA =&gt; $750. Who would've thought that it peaked at around $1,200 right around the time that Elon, his brother, the chair and three other directors sold their shares after the Hertz deal announcement, which absolutely nobody could've suspected was fake? Where were the signs?",0,1100.0
2/23/2022,14:04:17,Are you buying this $TSLA dip?,0,1800.0
1/27/2022,12:01:13,"$TSLA down today.  Most likely reasons: - Earnings good but didn't blow out expectations due to $700m in one-time expenses (Elon tax, expedite, warranty fees). - Not actively working on $25k car - Concern focusing on Optimus is losing focus on auto business - Little ST guidance",0,1524.0
2020-10-14,08:43:54,@elonmusk @Kristennetten @boringcompany @Tesla Sounds really stupid and wasteful actually!,0.0,1305.0
2020-09-08,07:03:29,now $TSLA chasers have 5 shares in the red instead of one  https://t.co/sLovPUFBjC,0.0,1530.0
4/22/2022,0:00:28,Tesla’s Solar deployments figures were hit hard by chip shortages and import delays “beyond our control” in 2022’s first quarter.  https://t.co/KaBc4mTFgN  https://t.co/zx9ubPkQBf,0,155.0
2/14/2022,22:31:38,NEWS: Longtime Tesla bear Greenlight’s David Einhorn is shorting $TSLA....again.  https://t.co/9pgBwItuwE,0,1176.0
2020-09-25,13:53:37,@Tesla My Model S won’t charge and the earliest appointment available at multiple service centers is in two weeks? Is this my only solution?,0.0,2639.0
2022-03-26,18:32:15,"It started with one @Tesla employee speaking out  Then it was a dozen.  Then it was a hundred.  Then it was nine hundred.  Today, over 4,000 Black workers at Tesla are taking on the world's richest white man @elonmusk to court to end workplace racism.   https://t.co/DuNDSFfevL",0.0,26460.0
2022-03-27,12:37:16,TESLA TO SUSPEND PRODUCTION AT SHANGHAI PLANT ON VIRUS CURBS $TSLA,0.0,1604.0
1/28/2022,10:44:43,"$TSLA hit $792 earlier today, -36% from its high of $1,243. I've never been more optimistic about Tesla and its future ;) How are you feeling about the future of Tesla?",0,1756.0
2020-10-02,06:22:08,"Let me understand this: The market is down 2% because @POTUS has tested positive for #Covid19??  Both my parents have had it (they’re in their 80s).  Two of my kids have had it. My ex-wife has had it. The mortality rate is 6 out of 10,000.  Get a grip everyone.   $tsla @elonmusk",0.0,1341.0
2022-03-30,23:35:50,"just sold all my $TSLA stock, ready to ape into #SolanaNFTs shill me some undervalued gems 😁  https://t.co/dtxdJqnRFE",0.0,1917.0
2/2/2022,10:03:50,Tesla is down 0.8% - all the bears are posting about how they were right lol,0,385.0
11/9/2021,22:42:04,"Is Elon Musk done selling 10% of his Tesla stake?  With Tesla being down 12% today, that's the question on most Tesla bull or bears' mind.  My guess; no.  Here's why:",0,167.0
11/6/21,15:39:03,"@elonmusk Voted Yes despite knowing this will hurt me.  1) $tsla is overextended, sell high to pay your tax  2) This is the best time to reduce debt   Money aside, your well-being is number 1 priority to most of us. ❤️",0,10616.0
2022-03-11,16:54:33,Diamond handing my $TSLA shares as always. Going to ride out 2022.,0.0,1398.0
2020-12-08,16:44:51,"So the @Tesla charging station I needed to top off to get me back home was broken, and now I literally can’t make it to a charger. Tesla support told me they could tow at my expense and I’m livid. Just waiting for my car to die to get a tow. This sucks.",0.0,2668.0
4/24/2022,5:05:41,@SpaceGrenadier @Cokedupoptions I’m sure it’s a joke. The fact that its not totally obvious shows what a dreamworld the Tesla bulls are living in. They seem to think the stock will go up for ever without any understanding of market risk or market capitalisation if one company,0,78.0
2022-04-05,12:07:14,"Let $TSLA cool off a bit after a massive +50% run in weeks.   We have the largest giga factory in the world opening in 2 days.   If you can’t handle the red days, you don’t deserve the green days.",0.0,837.0
11/24/21,19:53:06,"Seen on WSB: ""The year is 2046. Elon Musk has sold off 10% of his $TSLA shares, and solved world hunger. There is peace in the world. $PLTR still at $21.""",0,1969.0
2020-07-07,10:15:48,"I shorted $TSLA this AM, pray for me.",0.0,1007.0
